date,Amazonia
1981,13.552722791661587
1982,13.557887579451283
1983,13.928066322112311
1984,13.011358043283657
1985,13.066093893003451
1986,13.29955379153711
1987,13.981932709975142
1988,13.452978640803115
1989,13.211899422994255
1990,13.73786035421749
1991,13.651400795634896
1992,13.663623912476226
1993,13.526848254507698
1994,13.380361668113311
1995,13.67853909399437
1996,13.34493726320108
1997,13.848027056125076
1998,14.200664790748753
1999,13.062412808251135
2000,13.106414339068767
2001,13.401679369441629
2002,13.658488121937719
2003,13.700354440640293
2004,13.624481432200659
2005,13.731349081389995
2006,13.65413365276183
2007,13.540611184312954
2008,13.278993611641615
2009,13.8556455341267
2010,13.904341958689773
2011,13.479780901851964
2012,13.51134234994452
2013,13.724058731029666
2014,13.800914875833953
2015,14.17909912251675
2016,14.30637951906246
2017,13.850680098079618
2018,13.74394335556775
2019,14.00272283770502
2020,14.046346083484556
2021,13.686198874365283
2022,13.512682976656487
2023,14.192284797798001
