date,Amazonia
1981,21.197457554067633
1982,21.13260405350703
1983,21.59893565236929
1984,20.72907755985222
1985,20.82184729239538
1986,20.80219812112193
1987,21.46876903657326
1988,21.130493307390633
1989,20.8498077983735
1990,21.185580395606316
1991,21.242812985280768
1992,21.253848040607352
1993,21.025105684036397
1994,20.939224794845003
1995,21.279462085480176
1996,20.86087586737336
1997,21.51154445758742
1998,21.669674406036645
1999,20.639706489527722
2000,20.72045126792302
2001,20.865053702835716
2002,21.164138481280744
2003,21.155749396196278
2004,21.203671586680166
2005,21.445777171156614
2006,21.33020299768132
2007,21.25296574948236
2008,21.143333854799202
2009,21.420257673300036
2010,21.649476312618468
2011,21.22146719446248
2012,21.173277467781492
2013,21.212371476469364
2014,21.35012333971144
2015,21.655223302003613
2016,21.814271090476907
2017,21.464645281695788
2018,21.269704709898384
2019,21.4609414520936
2020,21.69209585511097
2021,21.330952733209323
2022,21.266790153602184
2023,21.994920285713597
