date,Amazonia
1981,22.44027982562925
1982,23.626747701832013
1983,24.219807860980552
1984,22.43009351851698
1985,22.109457243092056
1986,22.999564601592272
1987,23.820733156482884
1988,22.103278131813695
1989,22.571160223878923
1990,22.759289504568393
1991,23.1606716980145
1992,23.064718122190598
1993,23.24286983527691
1994,22.82421212812253
1995,22.54366302964801
1996,22.018200676569787
1997,24.831352679621833
1998,23.903460459110185
1999,22.241964277393155
2000,22.522818533993433
2001,22.58909172303278
2002,23.07807066288426
2003,22.937584988713457
2004,22.77330373861993
2005,22.75389028206623
2006,23.558078283147577
2007,21.95722433976462
2008,23.237852712192055
2009,23.522817503010994
2010,22.46093836016073
2011,22.914292165378846
2012,23.220075987936674
2013,22.539948316836092
2014,23.568968866035725
2015,24.371218709126627
2016,23.45848771393987
2017,22.936237242889767
2018,23.0469809006334
2019,23.181647070447358
2020,22.743681096825043
2021,22.783640580015973
2022,22.15034965774779
2023,24.59128571098553
