date,Amazonia
1981,23.258668066826573
1981,21.197457554067633
1982,23.491520230059514
1982,21.13260405350703
1983,23.805496406526792
1983,21.59893565236929
1984,22.690831085364284
1984,20.72907755985222
1985,22.627616181831193
1985,20.82184729239538
1986,22.887669213420025
1986,20.80219812112193
1987,23.60537828723819
1987,21.46876903657326
1988,22.760291213687218
1988,21.130493307390633
1989,22.733701535135815
1989,20.8498077983735
1990,23.246261189960386
1990,21.185580395606316
1991,23.335758279211294
1991,21.242812985280768
1992,23.27398861106093
1992,21.253848040607352
1993,23.18171257285207
1993,21.025105684036397
1994,23.006450687859914
1994,20.939224794845003
1995,22.847717443544497
1995,21.279462085480176
1996,22.570592076040946
1996,20.86087586737336
1997,23.8339672092836
1997,21.51154445758742
1998,23.58793368229868
1998,21.669674406036645
1999,22.30706437446851
1999,20.639706489527722
2000,22.33688407188415
2000,20.72045126792302
2001,22.493063543504032
2001,20.865053702835716
2002,23.061851222382565
2002,21.164138481280744
2003,22.915570163111823
2003,21.155749396196278
2004,22.890820055286422
2004,21.203671586680166
2005,23.104728775806343
2005,21.445777171156614
2006,23.146873023444943
2006,21.33020299768132
2007,22.852788739910658
2007,21.25296574948236
2008,22.923707360055086
2008,21.143333854799202
2009,23.37985025915343
2009,21.420257673300036
2010,23.21419487580111
2010,21.649476312618468
2011,23.12047724644216
2011,21.22146719446248
2012,23.161684397270715
2012,21.173277467781492
2013,23.0297645401369
2013,21.212371476469364
2014,23.449943828015414
2014,21.35012333971144
2015,23.965633605817185
2015,21.655223302003613
2016,23.84158506077832
2016,21.814271090476907
2017,23.565150460636517
2017,21.464645281695788
2018,23.48067646911789
2018,21.269704709898384
2019,23.70805413953993
2019,21.4609414520936
2020,23.616410069658052
2020,21.69209585511097
2021,23.268503782123094
2021,21.330952733209323
2022,23.048418386901307
2022,21.266790153602184
2023,24.3121641891569
2023,21.994920285713597
